BRAHMS,MASTER,gbifID,SarkID,ACCESSION,DETBY,DETDATE,LATDEC,LONGDEC,ALT,SP1,Species,roots,basisOfRecord,Ploidy,Source,countryCode,COUNTRY
,212,,212,CIP 762376,,,-15.5394,-70.2617,3847,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,213,,213,CIP 762377,,,-15.5394,-70.2617,3847,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,214,,214,CIP 761939,,,-17.2681,-70.2497,3328,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,215,,215,CIP 761940,,,-17.0419,-70.2483,3240,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,216,,216,CIP 762545,,,-15.3125,-70.2347,3900,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,217,,217,CIP 761560,,,-15.5103,-70.2156,3842,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,218,,218,CIP 760383,,,-15.4469,-70.1872,NA,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,219,,219,CIP 761957,,,-15.4469,-70.1872,4250,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,220,,220,CIP 765771,,,-15.7213,-70.1588,3914,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,221,,221,CIP 761971,,,-14.4167,-70.0919,4300,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,222,,222,CIP 760382,,,-15.5556,-70.0889,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,223,,223,CIP 762345,,,-15.7125,-70.0831,3822,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,224,,224,CIP 762346,,,-15.7125,-70.0831,3822,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,225,,225,CIP 761573,,,-15.7269,-70.0681,3901,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,226,,226,CIP 760379,,,-15.9053,-70.0642,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,227,,227,CIP 761624,,,-15.9053,-70.0642,3850,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,228,,228,CIP 761631,,,-15.8392,-70.0292,3856,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,229,,229,CIP 765780,,,-15.8272,-70.0183,3851,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
