"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade"
NA,141,NA,141,"CIP 761946","","",-15.9606,-71.5964,3794,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,147,NA,147,"CIP 762384","","",-14.4914,-71.4783,3857,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,152,NA,152,"CIP 761956","","",-15.485,-71.4567,3813,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,156,NA,156,"CIP 762567","","",-14.7925,-71.4119,3909,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,169,NA,169,"CIP 762420","","",-14.3844,-71.2981,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,172,NA,172,"CIP 762427","","",-14.9719,-71.2708,4221,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,173,NA,173,"CIP 763204","","",-15.4989,-71.2236,3488,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,176,NA,176,"CIP 761620","","",-14.3736,-71.0961,4145,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,179,NA,179,"CIP 762213","","",-15.0475,-70.9583,4444,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,183,NA,183,"CIP 761229","","",-13.595,-70.9564,2783,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,184,NA,184,"CIP 761616","","",-14.5097,-70.9233,4153,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,186,NA,186,"CIP 760346","","",-14.5742,-70.8122,4175,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,193,NA,193,"CIP 761963","","",-15.6014,-70.785,4050,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,196,NA,196,"CIP 761961","","",-15.8589,-70.7528,4154,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,200,NA,200,"CIP 762865","","",-16.8653,-70.6706,3876,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,201,NA,201,"CIP 761972","","",-14.4511,-70.66,4055,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,204,NA,204,"CIP 761944","","",-17.1161,-70.3886,4405,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,205,NA,205,"CIP 760342","","",-15.7914,-70.36,3934,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,206,NA,206,"CIP 762378","","",-15.565,-70.3008,3859,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,214,NA,214,"CIP 761939","","",-17.2681,-70.2497,3328,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,216,NA,216,"CIP 762545","","",-15.3125,-70.2347,3900,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,221,NA,221,"CIP 761971","","",-14.4167,-70.0919,4300,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,223,NA,223,"CIP 762345","","",-15.7125,-70.0831,3822,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,230,NA,230,"CIP 761625","","",-15.9417,-69.9175,3820,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,232,NA,232,"CIP 760339","","",-15.2922,-69.8264,3950,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,235,NA,235,"CIP 761330","","",-15.9742,-69.7989,3827,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,239,NA,239,"CIP 762337","","",-14.2172,-69.7406,4156,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,240,NA,240,"CIP 761627","","",-16.0772,-69.6708,3843,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,241,NA,241,"CIP 762205","","",-14.31,-69.6308,3800,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,244,NA,244,"CIP 762194","","",-14.5206,-69.5547,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,248,NA,248,"CIP 762209","","",-15.1183,-69.5514,3928,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,258,NA,258,"CIP 761331","","",-16.2147,-69.4592,3900,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,260,NA,260,"CIP 762145","","",-15.0083,-69.3933,4300,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,275,NA,275,"CIP 761332","","",-16.2728,-69.2931,3880,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,278,NA,278,"CIP 761286","","",-16.15,-69.0833,3825,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,282,NA,282,"CIP 762158","","",-14.8,-69.0833,4278,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,288,NA,288,"CIP 761340","","",-15.4,-69.0667,4215,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,289,NA,289,"CIP 761347","","",-15.75,-69.0667,3854,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,295,NA,295,"CIP 761336","","",-16.2167,-68.8333,3824,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,296,NA,296,"CIP 762301","","",-15.9667,-68.7167,3823,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,298,NA,298,"CIP 760332","","",-16.55,-68.7,3838,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,304,NA,304,"CIP 760316","","",-17.0167,-68.6167,3925,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,305,NA,305,"CIP 761290","","",-16.1667,-68.5667,3930,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,309,NA,309,"CIP 761294","","",-16.0667,-68.4667,4511,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,310,NA,310,"CIP 760314","","",-17.1667,-68.45,3988,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,312,NA,312,"CIP 762163","","",-14.6778,-68.3567,4368,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,317,NA,317,"CIP 764301","","",-16.65,-68.3,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,318,NA,318,"CIP 762297","","",-15.3,-68.25,593,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,319,NA,319,"CIP 762299","","",-15.5478,-68.1789,4413,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,323,NA,323,"CIP 760212","","",-17.2333,-67.9167,3813,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,331,NA,331,"CIP 762307","","",-17.0833,-67.3167,4496,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,334,NA,334,"CIP 761350","","",-16.9833,-67.2167,3042,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,335,NA,335,"CIP 760882","","",-17.65,-67.1667,3783,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,337,NA,337,"CIP 761404","","",-18.1667,-67.0333,3720,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,338,NA,338,"CIP 760816","","",-17.7167,-66.9833,4118,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,339,NA,339,"CIP 760884","","",-18.7167,-66.8667,3718,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,340,NA,340,"CIP 760483","","",-18.2667,-66.85,4169,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,341,NA,341,"CIP 760448","","",-17.0667,-66.8167,3056,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,342,NA,342,"CIP 762565","","",-17.505,-66.6842,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,346,NA,346,"CIP 760484","","",-18.2167,-66.4833,3454,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,348,NA,348,"CIP 760216","","",-17.4,-66.2831,2549,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,353,NA,353,"CIP 760496","","",-18.6667,-66.0167,4686,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,354,NA,354,"CIP 760267","","",-19.3747,-65.9442,3925,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,360,NA,360,"CIP 760510","","",-21.3703,-65.9439,3900,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,363,NA,363,"CIP 760495","","",-18.8333,-65.8333,3970,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,364,NA,364,"CIP 760526","","",-20.8333,-65.6833,2648,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,365,NA,365,"CIP 760213","","",-17.4333,-65.5833,4116,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
