"SP1","niche.bio1me","niche.bio2me","niche.bio4me","niche.bio12me","niche.bio15me","Specimens","breadth","logbreadth","sqrbreadth","mean.bio1","mean.bio2","mean.bio4","mean.bio12","mean.bio15","subClade","PClade","genomeSize","genomeSizeMethod","Ploidy","gsMono"
"etuberosum",0.518299120234603,0.394450867052023,0.337134653465346,0.335883039092055,0.331646539027982,38,1.91741421887201,0.650977517337868,1.38470726829609,8.40789473684213,10.4368421052632,4.49228947368421,1828.97368421053,89.8684210526316,"Etuberosum","",1.64,"FCM","Diploid",0.82
"evolvulifolium",0.490835777126099,0.226433526011561,0.0729614382490881,0.689671605716688,0.554217967599411,42,2.03412031470285,0.710063447648282,1.42622589890341,17.45,6.69047619047619,0.492619047619048,3575.09523809524,38.1690476190476,"Herpystichum","",2.25,"LocoGSE","Diploid",1.125
"flahaultii",0.211093841642228,0.178057803468208,0.035521834288692,0.21654613282892,0.0994506627393225,17,0.74067027496737,-0.300199725769419,0.860622027935243,11.2558823529412,8.1235294117647,0.359294117647059,2116.94117647059,39.9823529411765,"Petota","4 North",3.32,"FCM","Tetraploid",0.83
"gandarillasii",0.131894428152493,0.187231213872832,0.0838221990620115,0.0461704497688104,0.165084683357879,10,0.614202974214026,-0.48742982856769,0.783711027237735,16.57,10.64,1.6359,667.5,86.39,"Petota","4 South",1.75,"FCM","Diploid",0.875
"guerreroense",0.466275659824046,0.0404624277456647,0.0638874413757165,0.0132408575031526,0.0117820324005892,3,0.595648418849169,-0.518104687236775,0.771782624091246,16.25,11.6333333333333,1.37233333333333,1079,101.766666666667,"Petota","4 South",4.77,"FCM","Hexaploid",0.795
"habrochaites",0.589445747800585,0.375421965317919,0.233737467430954,0.221195670449769,0.749553755522828,85,2.16935460652205,0.77442970696607,1.47287290915478,16.3217647058824,8.43882352941177,0.568623529411765,951.117647058824,78.5505882352941,"Tomato","",2.26,"FCM","Diploid",1.13
"hjertingii",0.258964809384163,0.148,0.125519228764982,0.0734482976040353,0.172964653902798,14,0.778896989655979,-0.249876475929567,0.88255140907257,14.2071428571429,11.5357142857143,3.47135714285714,645.071428571429,66.95,"Petota","4 South",3.33,"FCM","Tetraploid",0.8325
"hougasii",0.386252199413489,0.122658959537572,0.0902344971339239,0.0919889659520807,0.0838946980854198,17,0.775029320122485,-0.254854417928308,0.880357495635998,16.8205882352941,12.1294117647059,1.77882352941176,1278.17647058824,102.888235294118,"Petota","4 South",5.01,"FCM","Hexaploid",0.835
"huancabambense",0.140762463343109,0.0635838150289017,0.0352266805627931,0.051807482135351,0.21060382916053,6,0.501984270230685,-0.689186493983158,0.708508482821966,14.6666666666667,9,0.337166666666667,1127.66666666667,81.95,"Petota","3",1.88,"FCM","Diploid",0.94
"immite_24",0.219941348973607,0.30635838150289,0.211360083376759,0.0701975620008407,0.128129602356407,5,0.935986978210503,-0.0661537147695859,0.967464199963236,15.41,7.96,0.5862,540.8,82.52,"Petota","3",1.9,"FCM","Diploid",0.95
"incurvum",0.363387096774193,0.0518901734104046,0.0554195935383012,0.270712484237074,0.146710603829161,11,0.888119951789134,-0.118648464268944,0.942401162875521,17.3681818181818,7.14545454545455,0.651545454545455,3149.45454545455,46.2909090909091,"Pteroidea","",2.37,"LocoGSE","Diploid",1.185
"infundibuliforme",0.395187683284456,0.625393063583815,0.319875143303804,0.225661202185792,0.493221649484536,83,2.0593387418424,0.72238493216462,1.43503963075673,9.06084337349401,13.4457831325301,2.62396385542169,841.10843373494,111.012048192771,"Petota","4 South",1.72,"FCM","Diploid",0.86
"iopetalum",0.489847507331377,0.321664739884393,0.241404168837936,0.178212904581757,0.310124447717231,65,1.5412537683527,0.432596220491121,1.24147241948933,15.9223076923077,11.3923076923077,1.79989230769231,1248.50769230769,92.8369230769231,"Petota","4 South",4.76,"FCM","Hexaploid",0.793333333333333
"jamesii",0.543316715542521,0.204121387283237,0.683869723814487,0.0508358554014292,0.507014727540501,150,1.98915840958217,0.687711639527147,1.41037527260732,11.494,13.1273333333333,7.67207333333333,417.073333333333,57.7126666666667,"Petota","1+2",1.42,"FCM","Diploid",0.71
