"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,185,NA,185,"CIP 765725","","",-15.6927,-70.8133,4192,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,186,NA,186,"CIP 760346","","",-14.5742,-70.8122,4175,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,191,NA,191,"CIP 765724","","",-15.6833,-70.8005,4191,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,192,NA,192,"CIP 761612","","",-14.6075,-70.7861,4034,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,193,NA,193,"CIP 761963","","",-15.6014,-70.785,4050,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,196,NA,196,"CIP 761961","","",-15.8589,-70.7528,4154,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,200,NA,200,"CIP 762865","","",-16.8653,-70.6706,3876,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,201,NA,201,"CIP 761972","","",-14.4511,-70.66,4055,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,202,NA,202,"CIP 760949","","",-14.0561,-70.4703,4000,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,204,NA,204,"CIP 761944","","",-17.1161,-70.3886,4405,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,205,NA,205,"CIP 760342","","",-15.7914,-70.36,3934,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,206,NA,206,"CIP 762378","","",-15.565,-70.3008,3859,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,208,NA,208,"CIP 761958","","",-15.6431,-70.2803,4180,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,211,NA,211,"CIP 761965","","",-15.5394,-70.2617,3847,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,214,NA,214,"CIP 761939","","",-17.2681,-70.2497,3328,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,215,NA,215,"CIP 761940","","",-17.0419,-70.2483,3240,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,216,NA,216,"CIP 762545","","",-15.3125,-70.2347,3900,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,217,NA,217,"CIP 761560","","",-15.5103,-70.2156,3842,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,218,NA,218,"CIP 760383","","",-15.4469,-70.1872,NA,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,220,NA,220,"CIP 765771","","",-15.7213,-70.1588,3914,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,221,NA,221,"CIP 761971","","",-14.4167,-70.0919,4300,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,222,NA,222,"CIP 760382","","",-15.5556,-70.0889,3900,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,223,NA,223,"CIP 762345","","",-15.7125,-70.0831,3822,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,225,NA,225,"CIP 761573","","",-15.7269,-70.0681,3901,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,226,NA,226,"CIP 760379","","",-15.9053,-70.0642,3900,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,228,NA,228,"CIP 761631","","",-15.8392,-70.0292,3856,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,229,NA,229,"CIP 765780","","",-15.8272,-70.0183,3851,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,230,NA,230,"CIP 761625","","",-15.9417,-69.9175,3820,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,231,NA,231,"CIP 761329","","",-15.8942,-69.8897,3819,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,232,NA,232,"CIP 760339","","",-15.2922,-69.8264,3950,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,233,NA,233,"CIP 761407","","",-15.1833,-69.8086,3820,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,235,NA,235,"CIP 761330","","",-15.9742,-69.7989,3827,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,236,NA,236,"CIP 765767","","",-14.3119,-69.7952,4335,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,237,NA,237,"CIP 762141","","",-15.2033,-69.7608,3855,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,238,NA,238,"CIP 760013","","",-17.3769,-69.7517,3950,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,239,NA,239,"CIP 762337","","",-14.2172,-69.7406,4156,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,240,NA,240,"CIP 761627","","",-16.0772,-69.6708,3843,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,241,NA,241,"CIP 762205","","",-14.31,-69.6308,3800,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,242,NA,242,"CIP 762206","","",-14.3589,-69.6197,3748,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,243,NA,243,"CIP 762338","","",-14.2172,-69.6064,4100,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,244,NA,244,"CIP 762194","","",-14.5206,-69.5547,4000,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,248,NA,248,"CIP 762209","","",-15.1183,-69.5514,3928,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,254,NA,254,"CIP 765765","","",-14.483,-69.5497,3490,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,256,NA,256,"CIP 762342","","",-14.6908,-69.5069,4200,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,258,NA,258,"CIP 761331","","",-16.2147,-69.4592,3900,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,260,NA,260,"CIP 762145","","",-15.0083,-69.3933,4300,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,271,NA,271,"CIP 762140","","",-15.0153,-69.3647,4342,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,275,NA,275,"CIP 761332","","",-16.2728,-69.2931,3880,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,276,NA,276,"CIP 760597","","",-16.2286,-69.0961,3849,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,277,NA,277,"CIP 760596","","",-16.2458,-69.0917,3824,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,278,NA,278,"CIP 761286","","",-16.15,-69.0833,3825,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,282,NA,282,"CIP 762158","","",-14.8,-69.0833,4278,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,288,NA,288,"CIP 761340","","",-15.4,-69.0667,4215,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
